bias,empse,modelse,cover,method,PTE,n
-0.0022,0.025,0.0255,0.946,RS,0.2,200
-0.0141,0.029,0.0292,0.912,RS_M,0.2,200
-0.0241,0.0275,0.0277,0.842,RS_F,0.2,200
-0.0064,0.0404,0.0417,0.948,RS,0.5,200
-0.0364,0.0521,0.0525,0.883,RS_M,0.5,200
-0.0612,0.0492,0.0497,0.737,RS_F,0.5,200
-0.007,0.0161,0.0176,0.937,RS,0.9,200
-0.0629,0.0436,0.0441,0.562,RS_M,0.9,200
-0.0844,0.0404,0.0414,0.246,RS_F,0.9,200
-0.0008,0.0116,0.0116,0.95,RS,0.2,1000
-0.0134,0.0133,0.0133,0.826,RS_M,0.2,1000
-0.0234,0.0126,0.0126,0.528,RS_F,0.2,1000
-0.0022,0.0185,0.0185,0.944,RS,0.5,1000
-0.0335,0.0236,0.0236,0.681,RS_M,0.5,1000
-0.0585,0.0223,0.0224,0.214,RS_F,0.5,1000
-0.0018,0.0071,0.0072,0.936,RS,0.9,1000
-0.0587,0.0192,0.0191,0.079,RS_M,0.9,1000
-0.0805,0.0177,0.0177,0.005,RS_F,0.9,1000
